ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Weight (kg),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Meta: _wpcom_is_markdown,Download 1 name,Download 1 URL,Download 2 name,Download 2 URL
1,simple,,عسل البرسيم,1,1,visible,,عسل البرسيم يحتوي على البروتين والحديد والبوتاسيوم وفيتامين B ومضادات الأكسدة، فإن له العديد من الفوائد منها مضاد فيروسي يعمل على تقليل البكتريا مفيد للبشرة لإحتوائه على الكولاجين مفيد للالتهابات وضغط الدم علاج لحرقان البول ويساعد في الحفاظ على صحة القلب - نزلات البرد هشاشه العظام -موسع شعب هوائية - يقلل من الاصابه بالسرطان - يعالج التهاب الكلي - زياده الحيوانات المنويه والعجز الجنسي - مهم جدا للحوامل ليقيها من الأمراض - منظم للدوره الشهريه,,,taxable,,1,,0,0,,,,,1,,,95,عسل,,,https://drive.google.com/file/d/1Ry-1byQCiRlAH_VtZkjy7Mdcf-YusEBY/view?usp=sharing,,,,,,,,,,الوزن,"ربع كيلو, نصف كيلو, كيلو ",1,,,,,,,,,,
2,simple,,عسل الموالح ,1,1,visible,,عسل الموالح يتميز برائحته العطريه والفيتامينات، والزيوت الطيارة، والأحماض الأمينية العضوية، فهو غنيٌ بالكالسيوم، والحديد، والمغنيسيوم، والفسفور، والبوتاسيوم، إضافة إلى البروتينات ومضادات الأكسدة وفيتامين أ، وب المركب، ج وغيرها من المكوّنات التي تجعله غذاءً مفيداً لجسم الإنسان وخصوصاً الأطفال ويعمل على زيادة الهيموجلوبين في الدم يقوي صحه العظام للاطفال والكبار ويحمي كبار السن من هشاشه العظام ويعمل على تسريع نمو الاسنان ويساعد على تسريع الشفاء من نزلات البرد,,,taxable,,1,,0,0,,,,,1,,,120,عسل,,,https://drive.google.com/file/d/1Ry-1byQCiRlAH_VtZkjy7Mdcf-YusEBY/view?usp=sharing,,,,,,,,,,الوزن,"ربع كيلو, نصف كيلو, كيلو ",1,,,,,,,,,,
